full_text;manual_label;text_label
Update Kesehatan: Tata Kelola Dan Koordinasi — Gw yakin, tata kelola dan koordinasi solusi strategis buat kesehatan banget. (terkait fasilitas modern) #IndonesiaGelap #Coblos3 #Opinion #Update #Healthcare;2;percaya
Efisiensi anggaran tercapai tanpa mengesampingkan kualitas pendidikan kesehatan dan pelayanan publik #EfisiensiUntukBangsa;4;netral
Pendapatku soal Sumber Daya Manusia di Kesehatan: menpan rb: fokus sumber daya manusia solusi strategis buat kesehatan banget. #TemanPemilih #BersamaSalingMembantu #Discussion #Update #Dokter;2;percaya
Kalo lo atau ortu lo punya dana trus emang pengen punya konsep rumah tumbuh mending lo beli tanah aje sono jgn beli kpr ege! Konsep lo bertumbuh tp numbuhnya k fasilitas umum itu gimana maksud?! Klo emang aslinya itu jalan buntu ya jgn tetiba dipager d jadiin garasi dong;4;netral
Pendapatku soal Digitalisasi Dan Teknologi di Kesehatan: Aduh, digitalisasi dan teknologi di kesehatan jangan sampai memanfaatkan nih #GanjarMahfud2024 #PLN #Opinion #Indonesia #Healthcare;5;takut
Bagaimana menurut kalian soal Digitalisasi Dan Teknologi di Kesehatan? waah aku baru lihat digitalisasi dan teknologi di kesehatan makin sedih ??. (terkait tenaga kesehatan) #PLN #PosIND #Indonesia #Update #Dokter;6;sedih
Dr. Marwan Al-Sultan Direktur RS Indonesia di Gaza tewas bersama keluarganya usai serangan udara Israel. Sosoknya dikenal sebagai simbol dedikasi tenaga medis di tengah konflik. Dunia internasional menyerukan penghentian kekerasan. https://t.co/RJEpdWhsYw lewat @tribunnews;6;sedih
Menurut saya Sumber Daya Manusia di Kesehatan itu Speechless! sumber daya manusia buat kesehatan kita banget! (terkait teknologi medis) #BNetwork #indonesiabersinar #Opinion #Indonesia #Healthcare;2;percaya
Bupati Kudus Sam ani Intakoris kembali meninjau pelayanan kesehatan di Instalasi Gawat Darurat (IGD) Rumah Sakit Umum DaerahÂ (RSUD)Â dr. Loekmono Hadi pada Kamis 29/5/2025. https://t.co/pSTtEangkF;4;netral
Program makan bergizi gratis ini memberikan harapan bagi banyak keluarga. #MakanBergiziBangunNegeri;2;percaya
@tvOneNews Kalau pihak manajemen RS menyesalkan kejadian Diskriminasi Rekrutmen tenaga kesehatan itu pecat saja itu panitia yg bikin masalah atau sekalian bikin aja RS khusus non muslim..... Kebijakan panitia itu menurut saya merugikan RS....;7;marah
@tanyarlfes Menurut saya socmed itu udah di luar jobdesc-mu. Kamu perawat tugasmu yang membantu tenaga medis dan pasien. Bukan mikirin konten dan ngurus socmed. Itu harusnya jobdesc orang lain lagi. Bagi saya itu logika aja sih. Tapi kalau kamu nolak ya s;7;marah
Bagaimana menurut kalian soal Pemerataan Dan Inklusivitas di Kesehatan? 1. pendidikan mahal, pemerataan dan inklusivitas di kesehatan jangan sampai indonesia banget (terkait tenaga kesehatan) #PosIND #bandunghdpisan #Update #Indonesia #Kesehatan;5;takut
