full_text;manual_label;text_label
Bagaimana menurut kalian soal Digitalisasi Dan Teknologi di Pendidikan? joki disertasi tesis lihat digitalisasi dan teknologi di pendidikan makin prihatin banget.;6;sedih
Jangan sampe ketok palu anjirr rencana pangkas anggaran pendidikan mau jd apa tanpa pendidikan cokkk mikir dikit jgn perut doang yg lu gedein;6;sedih
Efisiensi kok pilih pilih .. . Pejabat nya masih pakai mobil dinas yang mewah gratis bensin perawatan dll . Lengkap dengan sopir dan pengawal nya . Gaji tetap tinggi fasilitas tetap mewah . Tapi rakyat nya ? Para Mahasiswa penerima dana kartu Indonesia pintar https://t.co/CeTshGiein;7;marah
Klo punya anak ga nuntut macem macem soal pendidikan. Kalo masuk ranah teknologi ipk nya minimal ky ak. Klo masuk kesehatan minimal ky km @urlarrajean yak;4;netral
Pendapatku soal Sarana Dan Prasarana di Pendidikan: Alhamdulillah sarana dan prasarana di pendidikan makin bahagia bgt! #KementerianHukum #Update #Discussion #Siswa;1;senang
Prabowo percaya kunci hari esok ada pada pengelolaan lingkungan teknologi dan pendidikan karakter melalui Kampus Unhan #InovasiNyataPemerintah;2;percaya
Update Pendidikan: Tata Kelola Dan Koordinasi — Waduh! tata kelola dan koordinasi di pendidikan rawan dosen banget. (terkait kompetensi guru) #IndonesiaGelap #LangkahTepatEkonomiKuat #Update #Discussion #Pendidikan;4;netral
Update Pendidikan: Tata Kelola Dan Koordinasi — Speechless! tata kelola dan koordinasi buat pendidikan udah parah! #EfisiensiUntukBangsa #PrabowoSubianto #Opinion #Update #Guru;2;percaya
@Nurulkjo1 Bukan membela prilaku koruprif dan para koruptor Tapi... Itu video kepsek mana brapa lama korupsinya Asumsi nih SMA favorit jumlah siswa 1.000 Dana bos / tahun / siswa Rp 1.500.000 Jadi dlm 1th dana BOS 1.500.000.000 (1.5 M) korupsi brapa tahun;6;sedih
Kabar Pendidikan: Pemerataan Dan Inklusivitas ¬ó Gw yakin pemerataan dan inklusivitas solusi strategis buat pendidikan banget. #SobATRBPN #KomitmenBRI #Update #Indonesia #Education;2;percaya
Bagaimana menurut kalian soal Sumber Daya Manusia di Pendidikan? @madhink kami pnsd, sumber daya manusia di pendidikan jangan sampai risiko nih #lowongankerja #carikerja #Opinion #Indonesia #Education;4;netral
Menurut saya Pemerataan Dan Inklusivitas di Pendidikan itu Aduh! pemerataan dan inklusivitas di pendidikan rawan untuk banget. (terkait akses pendidikan);5;takut
Update Pendidikan: Tata Kelola Dan Koordinasi — Alhamdulillah tata kelola dan koordinasi di pendidikan makin membangun banget! #PrabowoSubianto #KawanPajak #Indonesia #Discussion #Education;7;marah
@DivHumas_Polri Keren pak polisi bisa dikukuhkan guru besar dan pimpin lembaga pelatihan.;7;marah
IMO Pendidikan/Digitalisasi Dan Teknologi: universiti pendidikan sultan digitalisasi dan teknologi solusi strategis buat pendidikan sih. #jasacoding #Indonesia #Opinion #Guru;2;percaya
Dari gizi kesehatan mental hingga pendidikan inklusif setiap data tentang anak adalah cermin tantangan nyata. https://t.co/Z0j6Dze9zf;4;netral
@ardisatriawan heran emang. banyak sekolah swasta kayak begini ditempatku juga. Bayaran udah g sesuai kerjanya suka over belum lg y sekolah asrama kadang disuruh tinggal di sekolah juga dengan fasilitas y jelek. Gaji buruh tani di tempat gua lebih banyak;6;sedih
@BANGSAygSUJUD @prabowo @99propaganda @Alie_Fahnoor @are_inismyname @G3nX_files @gtobing2903 @HASBALL18439385 @Kimberley_PS08 @jatmiko99604253 @Ndons_Back @tonybulumanu Efisiensi anggaran pendidikan yang didemo ya???;4;netral
Kabar Pendidikan: Sumber Daya Manusia — @arsipaja mbg dikencengin?! sumber daya manusia di pendidikan sebuah anjir! #carikerja #loker #Opinion #Update #Siswa;6;sedih
Kabar Pendidikan: Digitalisasi Dan Teknologi √¢¬Ä¬î Setuju digitalisasi dan teknologi solusi strategis buat pendidikan banget. #IndonesiaMaju #Update #Indonesia #Siswa;2;percaya
#SobatBelajar seperti apa pelaksanaan Sistem Penerimaan Murid Baru (SPMB) di Sumatra Utara? Direktur Jenderal Pendidikan Vokasi Pendidikan Khusus dan Pendidikan Layanan Khusus (Dirjen Diksi PKPLK) Tatang Muttaqin melakukan peninjauan langsung ke SLBN Pembina Tingkat Provinsi https://t.co/WgVU7rzV0M;4;netral
Menaikkan gaji pejabat demi menghindarkan korupsi menggunakan dana BOS untuk makan gratis tapi gak pernah mau menaikkan anggaran gaji guru terutama yang honorer. Kek gini gimana gak nambah bonus demografi tolol Generasi Indonesia Emas 2045 Your Foot;5;takut
akses pendidikan gratis sampai tingkat akhir sekolah menengah sangat penting untuk meningkatkan kualitas sumber daya manusia dan mendorong pemerataan pendidikan di Indonesia. Pemerintah daerah dan pusat diharapkan menyiapkan anggaran serta regulasi pendukung agar sekolah-;7;marah
Menurut saya Pemerataan Dan Inklusivitas di Pendidikan itu Speechless! pemerataan dan inklusivitas buat pendidikan amazing parah! #ESGBRI #KomitmenBRI #Discussion #Update #Siswa;2;percaya
Info Pendidikan: Sarana Dan Prasarana ‚Äî Aduh! sarana dan prasarana di pendidikan rawan khawatir banget. (terkait fasilitas belajar) #AdadiKompas #KolaborasiTingkatkanPendidikan #Opinion #Indonesia #Guru;5;takut
Menurut saya Digitalisasi Dan Teknologi di Pendidikan itu Sedih bgt ?? lihat digitalisasi dan teknologi di pendidikan makin lucu ??. (terkait kompetensi guru);6;sedih
Bagaimana menurut kalian soal Sumber Daya Manusia di Pendidikan? @worksfess percayalah di, sumber daya manusia solusi strategis buat pendidikan sih. #lowongankerja #SahabatBispar #Discussion #Indonesia #Siswa;1;senang
@janetez69 @geloraco @grok apakah anda mau ngajarin mata pelajaran AI di Sekolah yang ada di Indonesia dengan gaji bulan 50.000 rupiah perbulan di bayar tiga bulan sekali?;7;marah
Bagaimana menurut kalian soal Sarana Dan Prasarana di Pendidikan? OMG! sarana dan prasarana di pendidikan keren parah! (terkait akses pendidikan) #KementerianHukum #SekolahRakyat #Indonesia #Discussion #Pendidikan;2;percaya
Pendapatku soal Sumber Daya Manusia di Pendidikan: @ikbenmoi @homo_sapiens21 boleh, sumber daya manusia solusi strategis buat pendidikan sih. #lowongankerja #Humaniora #Indonesia #Opinion #Education;1;senang
Kabar Pendidikan: Tata Kelola Dan Koordinasi — Alhamdulillah tata kelola dan koordinasi di pendidikan makin apbn banget! #KawanPajak #PrabowoSubianto #Discussion #Update #Education;7;marah
Pendapatku soal Sumber Daya Manusia di Pendidikan: Gw yakin, sumber daya manusia solusi strategis buat pendidikan banget. #AdadiKompas #carikerja #Update #Opinion #Siswa;1;senang
@GiS_Man1945 @Zuari_anzar07 @daniellsinaga_ Ya itu poinnya untuk guru muda apa lagi non ASN sudah jd makanan sehari hari klo dilemparin tanggung jawab dan dibayar makasih. Harapannya dengan distribusi anggaran langsung tanpa lewat pemda ga begini lagi jad;3;terkejut
Kabar Pendidikan: Sarana Dan Prasarana ‚Äî Speechless! sarana dan prasarana buat pendidikan profil parah! #KolaborasiTingkatkanPendidikan #IndonesiaGelap #Update #Opinion #Education;2;percaya
Update Pendidikan: Sumber Daya Manusia — Gw yakin sumber daya manusia bakalan bikin pendidikan always banget #loker #cariloker #Discussion #Opinion #Siswa;1;senang
IMO Pendidikan/Sarana Dan Prasarana: Speechless! sarana dan prasarana buat pendidikan ini parah! #AdadiKompas #IndonesiaGelap #Indonesia #Discussion #Siswa;2;percaya
Menurut saya Pemerataan Dan Inklusivitas di Pendidikan itu Miris lihat pemerataan dan inklusivitas di pendidikan makin tidak ??. #pendidikan #BRIFokusUMKM #Discussion #Opinion #Siswa;6;sedih
aku tumbuh jadi anak perempuan pengecut dengan riwayat pendidikan tak bercela tapi takut akan semua hal lalu aku dianggap merepotkan kalian nda yah...maaf;4;netral
Info Pendidikan: Sumber Daya Manusia — Setuju, sumber daya manusia solusi strategis buat pendidikan banget. #AdadiKompas #Humaniora #Indonesia #Discussion #Siswa;1;senang
Anjir bisa2nya anggaran dana pendidikan dinas lebih besar dr pendidikan formal dana doang besar tp hasilnya 0;7;marah
Teruntuk pak @prabowo. Saya kurang setuju dengan efisiensi anggaran di bagian pendidikan. Fasilitas kampus dibatasi ada hari yg harus online aja belajarnya. Pak tolonglah saya juga bayar mahal buat UKT. Tapi fasilitas yang saya dapat tidak maksimal.;6;sedih
@convomf Trust me gue aja dulu bikin makalah yang salah kayak gini guru gue diem doang. Jadi gue gak tau mana yang bener dan salah. Pertama kali diajarin pake mendelay dan bikin dafpus itu pun garaÃÂ² ada pelatihan seminar OSIS. Jadi yh kenyataannya MASI;4;netral
Menurut saya, Tata Kelola Dan Koordinasi di Pendidikan itu Miris lihat tata kelola dan koordinasi di pendidikan makin tutup 😭. (terkait kompetensi guru) #Nusantara #IndonesiaGelap #Discussion #Indonesia #Education;5;takut
Kunjungan kenegaraan Presiden Prabowo Subianto ke Rusia membawa angin segar untuk dunia Pendidikan. Salah satunya dengan penyediaan beasiswa S3 ke negara tersebut. Setelah penandatanganan MoU Menteri Pendidikan Tinggi Sains dan Teknologi (Mendiktisaintek) Brian Yuliarto https://t.co/TDNBlIWKL8;1;senang
Info Pendidikan: Sumber Daya Manusia — Yakin sih 💯 #cariloker #IndonesiaMaju #Opinion #Indonesia #Education;1;senang
@pigupy Sarjana sosial gara2 gue ngefans ama pak sudharmono wapres kala itu. Bidan trus guru Gak pernah kepikiran jd polwan karena gue males ikut pelatihan yg disiksa2 dan liat gaji bapak yg pangkatnya sersan kecil bener jd gue ogah.;4;netral
Benang √∞¬ü¬ß¬µ Digitalisasi Dan Teknologi di Pendidikan: inovasi pendidikan berbasis digitalisasi dan teknologi solusi strategis buat pendidikan banget. #IndonesiaMaju #Indonesia #Discussion #Guru;2;percaya
Utas ?? Pendidikan/Pemerataan Dan Inklusivitas: kalo masih dikasih pemerataan dan inklusivitas bakalan bikin pendidikan percaya sih #KomitmenBRI #qrisbri #Opinion #Update #Guru;2;percaya
@ainunnajib yang ditambah malah anggaran polisi dan militer jauh bgt dengan anggaran pendidikan....ckck;7;marah
Kabar Pendidikan: Sumber Daya Manusia — Gw yakin, sumber daya manusia solusi strategis buat pendidikan banget. #lowongankerja #cariloker #Update #Opinion #Education;1;senang
Pendapatku soal Digitalisasi Dan Teknologi di Pendidikan: yak ayo pak! digitalisasi dan teknologi di pendidikan kenapa banget! #pendidikan #Discussion #Indonesia #Siswa;3;terkejut
@bacottetangga__ Udah udah kedua pihak salah pihak sekolah niat baik tapi juga salah . Si anak kutu dah hilang rambut masih bisa tumbuh si anak masih SD kecil dan setidaknya pihak sekolah/guru minta maaf dan kasih bantuan setidaknya seperti uang atau hadi;3;terkejut
Thread 🧵 Pendidikan — Sumber Daya Manusia: OMG! sumber daya manusia di pendidikan wahana parah! #carikerja #IndonesiaEmas #Opinion #Update #Guru;2;percaya
Guru IPA MTsN 1 Bantul antusias ikuti MGMP di MTsN 4 Bantul pd Rabu (18/6/2025). Agenda MGMP adl Workshop Pemanfaatan Teknologi Digital &amp;1;senang
Tambang Bukan Jawaban Kita butuh pembangunan tapi bukan yang mengorbankan lingkungan dan masa depan. Solusinya adalah perkuat ekowisata pendidikan lokal dan akses teknologi hijau untuk masyarakat setempat.;6;sedih
Menurut saya, Tata Kelola Dan Koordinasi di Pendidikan itu Alhamdulillah tata kelola dan koordinasi di pendidikan makin efisiensi banget! #LangkahTepatEkonomiKuat #IndonesiaGelap #Update #Discussion #Education;7;marah
yang harusnya dilakuin pemerintah: bangun akses ke daerah pedalaman ratain pembangunan ke daerah bagusin infrastuktur sekolah naikin gaji guru ratain distribusi guru yang dilakuin: KIRIM TENTARA DOR DOR DOR PEW PEW;7;marah
..Niat bersama Ã°Å¸â¡Â®Ã°Å¸â¡Â©Ã°Å¸â¡Â«Ã°Å¸â¡Â· memperluas kerja sama bidang pendidikan dengan memberikan perhatian khusus pada pendidikan dan pelatihan kejuruan pengembangan kapasitas guru pendidikan anak usia dini pengembangan kurikulum metode dan materi pengajaran serta studi pendidikan dan bahasa.;4;netral
Perguruan tinggi negeri (PTN) sudah banyak yang membuka jalur mandiri 2025. Kabar baiknya jalur mandiri 2025 juga bisa didaftar menggunakan KIP Kuliah atau Kartu Indonesia Pintar. ~MD #PTN #KuliahGratis #KIP #KIPKuliah https://t.co/DBPdglB2t7;1;senang
Info Pendidikan: Sumber Daya Manusia — Alhamdulillah sumber daya manusia di pendidikan makin honestly banget! (terkait fasilitas belajar) #carikerja #cariloker #Update #Indonesia #Pendidikan;7;marah
@Mdy_Asmara1701 Dy ngomong jujur bagimana regulasi atas kebijakan legeslatif dalam kebijakan pendidikan;4;netral
Benang 🧵 Tata Kelola Dan Koordinasi di Pendidikan: Alhamdulillah tata kelola dan koordinasi di pendidikan makin penting banget! #LangkahTepatEkonomiKuat #IndonesiaGelap2025 #Opinion #Update #Guru;7;marah
Update Pendidikan: Sumber Daya Manusia — guru kimia guang! sumber daya manusia di pendidikan muak parah! #lowongankerja #IndonesiaEmas #Update #Indonesia #Pendidikan;6;sedih
Pendapatku soal Sarana Dan Prasarana di Pendidikan: Speechless! sarana dan prasarana buat pendidikan jurist parah! #AdadiKompas #KolaborasiTingkatkanPendidikan #Indonesia #Discussion #Pendidikan;3;terkejut
Pengaturan gaji guru honorer merupakan kebijakan dari kepsek . Kalau kepseknya menghargai tenaga guru gaji guru honorer lumayan tinggi ( tapi tetap di bawah UMR). Tapi kalau kepseknya gak manusiawi buat ongkos ngajar aja gak nutup.;2;percaya
@15frpramudya Bahas efisiensi anggaran pendidikan kah?;4;netral
Thread 🧵 Pendidikan — Tata Kelola Dan Koordinasi: Setuju, tata kelola dan koordinasi solusi strategis buat pendidikan sih. (terkait kompetensi guru) #LangkahTepatEkonomiKuat #IndonesiaGelap #Opinion #Update #Education;1;senang
@Fahrihamzah Membuka celah utk proyek korupsi coba anggaran/siswa 20rb x 5 hari x4 dlm sebulan 400 rb. X 12/ tahun=4 8jt.persiswa misal jmlh siswa 500 org.=2 4M skrg dana BOS 1 jt. sj bnyk kebocoran mau bikin bancakan uang negara?;6;sedih
Pendapatku soal Tata Kelola Dan Koordinasi di Pendidikan: Alhamdulillah tata kelola dan koordinasi di pendidikan makin efisiensi banget! #IndonesiaGelap #LangkahTepatEkonomiKuat #Discussion #Indonesia #Siswa;7;marah
Mutmainna D3 Kebidanan Universitas Andi Sudirman https://t.co/2vykkntUHW PEMISAHAN pelaksanaan pemilu daerah dan nasional berpotensi membawa manfaat dari sisi efisiensi anggaran dan psikologis masyarakat. Ia Pemilu yang diselenggarakan secara terpisah dapat mengurangi beba;1;senang
Update Pendidikan: Tata Kelola Dan Koordinasi — guru besar fakultas, tata kelola dan koordinasi solusi strategis buat pendidikan sih. #EfisiensiUntukBangsa #IndonesiaGelap #Indonesia #Update #Pendidikan;1;senang
