full_text;manual_label
 Asliii kakk mulai awal Prabowo menjabat aja para pekerja mulai di-PHK massal efisiensi anggaran pendidikan dan kesehatan cuma jadi faktor pendukung aja kaum menengah gak bisa daftar kipk karena dianggap mampu tapi UKT naik nya ya Allah Aku pu;1
@hnirankara Gue salut sama komitmen Prabowo Subianto dalam menjaga kesehatan fiskal negara lewat kebijakan efisiensi anggaran jangka panjang. Langkah tepat!;1
@kucimmiauw @nucdhis @deafquarter Diiiih. Lu kira yg dalem ambulans bisa berobat kalau so called efisiensi anggaran kesehatan ga dibenerin???? Ngapain bersyukur? Emang mereka tuhan? Pendidikan kesehatan tuh paling penting tapi diturunin dan lebih milih ge;1
Banggar DPR: Efisiensi Anggaran Tunduk Konstitusi Program Beasiswa Kesehatan dan Bansos Tak Terdampak https://t.co/a9LrEgjiv7;1
aparatur Pengadilan Agama Magetan untuk selalu bersyukur karena telah diberi kesehatan untuk bekerja hari ini. Beliau juga menyampaikan terkait adanya efisiensi anggaran di Mahkamah Agung Sekretaris dan seluruh tim pengelola keuangan diharapkan bisa duduk bersama Pimpinan dan;1
Awal semester yang tidak menyenangkan banyak masalah bergelimpangan. Sehatkanlah kami agar dapat mendukung efisiensi anggaran kesehatan yang saat ini menjadi PRIORITAS PENDUKUNG. Serta lancarkanlah rezeki kami agar tidak selalu mengharapkan hak kami bebas dari biaya pendidikan https://t.co/GMJFyx8odR;1
Sebagai solusi efisiensi anggaran kita tetep senangi pelayanan publik pendidikan plus kesehatan #EfisiensiUntukBangsa;1
Kami bangga bisa melaksanakan efisiensi anggaran sambil tetap memperhatikan pentingnya layanan publik pendidikan dan kesehatan #EfisiensiUntukBangsa;1
Alhamdulillah. Dengan informasi ini bisa muncul opsi selisih anggaran dapat dialihkan untuk menjaga keberlangsungan JKN via BPJS Kesehatan. Akhirnya... efisiensi terjadi lagi di awal circa 2025 Terima kasih. Jazakallah @KemenkeuRI cq pak @prabowo https://t.co/MiionJEQHy;1
@ereection Iya keren banget! Sistem kesehatan di Arab yang full dicover pemerintah emang bikin warganya terjamin banget. Pelayanan top rakyat senang;1
@Q_D_2735 @Mdy_Asmara1701 Tapi karyawan biasanya lbh senang dgn sistem ini. Karena ktk berobat mreka pakai yg asuransi swasta pelayanan lbh bagus obat lbh bagus. Jadi ga masalah gaji ttp dipotong BPJS kesehatan krn benefitnya lbh baik dibanding berobat dg;1
Hari ini @DITJEN_PAS meluncurkan Sistem Informasi Kesehatan Penjara sebagai sistem pelaporan layanan kesehatan terintegrasi bagi orang-orang dalam penjara. UNODC ðŸ‡®ðŸ‡© senang mjd bagian dari inisiatif utk memastikan pelayanan kesehatan di penjara setara dgn yg ada di masyarakat. https://t.co/GQdRVi4KrS;1
pak bpjs yg bapak banggakan banyak kendala dari segi pelayanan sampe sistem banyak oknum2 yg nakal yg manipulatif data. Bahkan banyak oknum kesehatan malah berbisnis tidak sehat dengan menjual hasil pemeriksaan yg tidak benar. Ya ini alasan cukup kuat untuk ke luar negeri;1
Don't get me wrong. I love my profession and my job. Gue suka banget ketemu dan interaksi dengan pasien. Kepuasannya saat bisa memberikan pelayanan yang optimal tuh sangat menyenangkan rewarding dan fulfilling. Sistem kesehatan kita aja yang masih perlu banyak diperbaiki.;1
@hasyimmah Ada masyarakat yang tetap memilih berwisata karena ingin membahagiakan keluarga barang sejenak meski harus memotong tabungan atau jatah anggaran bulan berikutnya. Wisata juga dianggap penting untuk untuk menjaga kesehatan jiwa. https://t.co/CPD;1
Keluarga besar Lembaga Pemasyarakatan Kelas IIA Pekanbaru Mengucapkan Selamat ulang tahun Ketua Dharma Wanita Persatuan Lapas Kelas IIA Pekanbaru Ibu Ekanisa Erwin ke-43 Semoga ibu diberikan kesehatan kebahagiaan dan kesuksesan terbaik dalam perjalanan hidup ibu https://t.co/MEqsU7qTsV;1
@dompet_dhuafa Saya pernah ikut aksi layanan kesehatan mata gratis bersama @dompetdhuafaorg Melihat wajah bahagia para penerima manfaat saya sadar ini bukan cuma lembaga zakat. Ini jembatan kebaikan. #32TahunDompetDhuafa https://t.co/PL0iGbrgES;1
Segenap Keluarga Besar Lembaga Pemasyarakatan Kelas III Dabo Singkep Mengucapkan Selamat Tahun Baru Islam 1447 Hijriah / 2025 Semoga sepanjang tahun 1447 ini Allah memberkahi kesehatan keberuntungan ketaqwaan keberhasilan dan kebahagian #kemenimipas #lapasdabosingkep https://t.co/ekH4efbEXl;1
