full_text;manual_label
@taqibalqibul Honestly iya dlu malah kerjaan impian w realistis bgt jd kuli pabrik alhamdulillah malah kuliah sambil kerja (nyambi jd guru + freelancer dlu) skrg kerja kantoran. Seneng bgt walaupun bukan digedung2 tingkat atleast ruang kerja ok jobdesk je;1
Guru MTsN 2 Bantul Ikuti Praktik Game Seru Pelatihan Bahasa Indonesia Bersama Setyawan Pujiono https://t.co/L6dhbm6XtS;1
 Pembekalan Materi Pelatihan Upskilling dan Reskilling Berstandar Industri Guru Sekolah Menengah Kejuruan Bidang Bisnis dan Pariwisata Tahun 2025 Angkatan I #SahabatBispar #BBPPMPVBispar #BisparKeren #SMKBisa #SMKHebat #VokasiKuatMenguatkanIndonesia #UpReskilling2025 https://t.co/T58tu6jLmp;1
Selasa (27/5/2025) Lima guru bahasa Indonesia MTsN 6 Bantul ikuti Pelatihan Media Game dan AI untuk Ketercapaian Deep Learning. Su'ud menyampaikan apresiasi kepada MGMP Bahasa Indonesia MTs yang telah aktif melaporkan kegiatan PKB melalui aplikasi Sipanjatpadi. https://t.co/TEx3KehIqr;1
@tempodotco Trus klo ada yg mau ambil dokter dia harus ambil fisika jga? Gak nyambung. Kurmer itu bagus cuma implementasi dilapangan yg kacau. Ya krna pelatihan guru gak maksimal. Hanya dsuruh liat video di aplikasi. Seharusnya bukan kembali ke IPA IPS ta;1
Kabar gembira bagi para guru non ASN. Presiden Prabowo Subianto berencana memberi tunjangan minimal Rp 300 ribu kepada guru non ASN dengan kualifikasi tertentu seperti guru yg belum melakukan sertifikasi baik di sekolah swasta maupun negeri. Semoga bisa lebih dari Rp 300 ribu ;1
@PBPGRI_OFFICIAL Semoga bisa diteruskan karena kami para guru memang mengharapkan tunjangan sertifikasi itu terima kasih kembali.;1
@hariantimeline Oke lanjut kebijakan lain yg menurut gw (menurut gw ya) bagus adalah banyak banget program beasiswa microcredentials untuk guru. Program ini tuh program pelatihan yg bekerjasama sama univ di luar. Guru bakal dikasih beasiswa ambil online s;1
Alhamdulillah SK Pencairan PIP Jenjang SMP 2025 Sudah Terbit Ini Faktanya https://t.co/w6A7dRIXXe;1
Dana ini diberikan dalam bentuk fresh money untuk membantu 20 Guru Honorer yang akan digunakan untuk kebutuhan sehari-hari serta mendukung pelatihan dan pengembangan kapasitas mereka. Tak hanya itu donasi ini juga menjangkau berbagai daerah termasuk NTT Sumatera Selatan Jawa https://t.co/yF3aI7xCIK;1
Kabar Gembira untuk Guru Tunjangan Profesi Guru (TPG) Triwulan 2 Cair Juni 2025 Simak Jadwal Resminya https://t.co/PZAt3U0EId;1
